time,enrolled,available,waitlisted,total,normalized_available,normalized_waitlisted,normalized_enrolled
2022-04-11T04:22:47,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:26:49,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:31:02,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:35:04,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:39:05,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:43:06,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:47:08,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:51:09,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:55:10,0,40,0,40,1.0,0.0,0.0
2022-04-11T04:59:11,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:03:13,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:07:14,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:11:15,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:15:17,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:19:18,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:23:19,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:27:21,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:31:22,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:35:23,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:39:24,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:43:26,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:47:27,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:51:28,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:55:29,0,40,0,40,1.0,0.0,0.0
2022-04-11T05:59:30,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:03:32,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:07:33,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:11:34,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:15:35,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:19:36,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:23:38,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:27:39,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:31:40,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:35:41,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:39:42,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:43:44,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:47:45,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:51:46,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:55:47,0,40,0,40,1.0,0.0,0.0
2022-04-11T06:59:48,0,40,0,40,1.0,0.0,0.0
2022-04-11T07:03:49,0,40,0,40,1.0,0.0,0.0
2022-04-11T07:07:50,0,40,0,40,1.0,0.0,0.0
2022-04-11T07:11:52,0,40,0,40,1.0,0.0,0.0
2022-04-11T07:15:53,0,40,0,40,1.0,0.0,0.0
2022-04-11T07:19:54,0,40,0,40,1.0,0.0,0.0
2022-04-11T07:23:55,0,40,0,40,1.0,0.0,0.0
