time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1652603001411,COGS 2,A01,083966,Boyle; Mary E. T.,0,7,31,31
1652603007435,COGS 9,A01,083968,Staff,0,18,60,60
1652603013460,COGS 14B,A01,083970,Staff,16,0,65,49
1652603019484,COGS 17,A01,092679,Staff,0,3,75,75
1652603025507,COGS 100,A01,083972,Staff,0,33,60,60
1652603037569,COGS 101C,A01,083976,Staff,0,3,30,30
1652603043593,COGS 102A,A01,083978,Johnson; Christine M.,0,12,30,30
1652603049617,COGS 107B,A01,083980,Staff,0,22,50,50
1652603055640,COGS 115,A01,083982,Staff,0,3,30,30
1652603061664,COGS 118B,A01,083367,Staff,0,24,40,40
1652603067693,COGS 172,A01,083984,Provenzano; Emily Kara,0,0,30,30
1652603073723,COGS 177,A00,083368,Tung; Janet C,0,29,30,30
1652603079752,COGS 186,A01,083986,Staff,0,0,40,40
1652603085777,COGS 187A,A01,083988,Boyle; Mary E. T.,0,14,60,60
1652603091804,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,29,15,15
1652603097829,CSE 11,A01,084005,Miranda; Gregory Joseph,0,58,55,55
1652603103864,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,10,27,27
1652603109891,CSE 21,A01,084009,Braun; Oliver,0,31,70,70
1652603115915,CSE 30,A01,083370,Cao; Yingjun,0,78,40,40
1652603121944,CSE 100,A01,083372,Cao; Yingjun,0,67,40,41
1652603127975,CSE 101,A01,084011,Braun; Oliver,0,82,40,40
1652603134002,CSE 141,A01,083374,Eldon; John,0,10,150,150
1652603140027,CSE 141L,A01,083376,Eldon; John,0,23,150,150
1652603146057,CSE 142,A01,093827,Staff,14,0,50,36
1652603152082,CSE 142L,A01,093829,Staff,17,0,50,33
1652603158112,CSE 175,A01,084013,Kumar; Rakesh,15,0,25,10
1652603164136,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1652603170167,ECE 5,A01,084049,Morris; Karcher William,11,0,20,9
1652603176193,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,0,20,20
1652603176193,ECE 100,A02,091916,Baghdadchi; Saharnaz,1,0,20,19
1652603182227,ECE 101,A01,084053,Baghdadchi; Saharnaz,0,0,37,37
1652603182227,ECE 101,A02,084054,Baghdadchi; Saharnaz,7,0,37,30
1652603188250,ECE 107,A01,083390,Staff,17,0,40,23
1652603194275,ECE 148,A01,084056,Silberman; Jack,0,0,12,12
1652603200302,ECE 180,A00,083391,Abi Samra; Nicholas Camill,18,0,30,12
1652603200302,ECE 180,B00,083392,Abi Samra; Nicholas Camill,13,0,30,17
1652603206327,MATH 10A,A01,093431,Hammock; Frances H,0,2,0,0
1652603212357,MATH 10B,A01,084110,Briones; Jor-el Thomas Caparas,0,6,30,30
1652603212357,MATH 10B,A02,084111,Briones; Jor-el Thomas Caparas,0,3,30,30
1652603212357,MATH 10B,A03,084112,Briones; Jor-el Thomas Caparas,0,3,30,30
1652603218384,MATH 10C,A01,083443,Rotar; Vladimir,0,34,30,30
1652603218384,MATH 10C,A02,083444,Rotar; Vladimir,0,33,30,30
1652603218384,MATH 10C,B01,084114,Staff,0,0,30,30
1652603218384,MATH 10C,B02,084115,Staff,16,0,30,14
1652603224409,MATH 18,A01,084117,Harel; Guershon,2,0,30,28
1652603224409,MATH 18,A02,084119,Harel; Guershon,25,0,30,5
1652603224409,MATH 18,A03,084120,Harel; Guershon,28,0,30,2
1652603224409,MATH 18,A04,084121,Harel; Guershon,26,0,30,4
1652603230434,MATH 20A,A01,093429,Staff,0,2,0,0
1652603236464,MATH 20B,A01,084124,Um; Ko Woon,0,12,35,35
1652603236464,MATH 20B,B01,084126,Um; Ko Woon,0,9,35,35
1652603242499,MATH 20C,A01,083446,Hammock; Frances H,0,1,30,30
1652603242499,MATH 20C,A02,083447,Hammock; Frances H,1,0,30,29
1652603242499,MATH 20C,A03,083448,Hammock; Frances H,0,1,30,30
1652603242499,MATH 20C,A04,083449,Hammock; Frances H,0,0,30,30
1652603242499,MATH 20C,B01,083451,Hammock; Frances H,0,0,30,30
1652603242499,MATH 20C,B02,083452,Hammock; Frances H,1,0,30,29
1652603242499,MATH 20C,B03,083453,Hammock; Frances H,0,0,30,30
1652603242499,MATH 20C,B04,083454,Hammock; Frances H,9,0,30,21
1652603248524,MATH 20D,A01,084128,Sinha; Shubham,8,0,30,22
1652603248524,MATH 20D,A02,084129,Sinha; Shubham,27,0,30,3
1652603248524,MATH 20D,A03,084130,Sinha; Shubham,27,0,30,3
1652603248524,MATH 20D,B01,084133,Staff,0,0,30,30
1652603248524,MATH 20D,B02,084134,Staff,13,0,30,17
1652603248524,MATH 20D,B03,084135,Staff,27,0,30,3
1652603254547,MATH 20E,A01,084138,Tran; Khoa Dang,0,0,30,30
1652603254547,MATH 20E,A02,084139,Tran; Khoa Dang,0,0,30,30
1652603254547,MATH 20E,A03,084140,Tran; Khoa Dang,5,0,30,25
1652603254547,MATH 20E,A04,084141,Tran; Khoa Dang,6,0,30,24
1652603260576,MATH 102,A01,084143,Harel; Guershon,0,0,30,30
1652603260576,MATH 102,A02,084144,Harel; Guershon,2,0,30,28
1652603266605,MATH 103B,A01,083456,Staff,0,27,30,30
1652603266605,MATH 103B,A02,083457,Staff,0,27,30,30
1652603272630,MATH 109,A01,084146,Salehi Golsefidy; Alireza,3,0,30,27
1652603272630,MATH 109,A02,084147,Salehi Golsefidy; Alireza,2,0,30,28
1652603278669,MATH 120A,A01,085445,Eggers; John Dietrich,0,2,35,35
1652603278669,MATH 120A,A02,085446,Eggers; John Dietrich,6,0,35,29
1652603284697,MATH 142B,A01,084149,Verstraete; Jacques Allan,0,25,30,30
1652603284697,MATH 142B,A02,084150,Verstraete; Jacques Allan,0,25,30,30
1652603290727,MATH 170A,A01,083459,Nie; Jiawang,0,22,30,30
1652603290727,MATH 170A,A02,083460,Nie; Jiawang,0,21,30,30
1652603290727,MATH 170A,A03,083461,Nie; Jiawang,0,20,30,30
1652603296767,MATH 193B,A01,083463,Rotar; Vladimir,0,0,30,30
1652603296767,MATH 193B,A02,083464,Rotar; Vladimir,1,0,30,29
1652603296767,MATH 193B,A03,083465,Rotar; Vladimir,8,0,30,22
1652603302827,COGS 2,A01,083966,Boyle; Mary E. T.,0,7,31,31
1652603308856,COGS 9,A01,083968,Staff,0,18,60,60
1652603314881,COGS 14B,A01,083970,Staff,16,0,65,49
1652603320907,COGS 17,A01,092679,Staff,0,3,75,75
1652603326930,COGS 100,A01,083972,Staff,0,33,60,60
1652603338983,COGS 101C,A01,083976,Staff,0,3,30,30
1652603345013,COGS 102A,A01,083978,Johnson; Christine M.,0,12,30,30
1652603351043,COGS 107B,A01,083980,Staff,0,22,50,50
1652603357071,COGS 115,A01,083982,Staff,0,3,30,30
1652603363111,COGS 118B,A01,083367,Staff,0,24,40,40
1652603369140,COGS 172,A01,083984,Provenzano; Emily Kara,0,0,30,30
1652603375165,COGS 177,A00,083368,Tung; Janet C,0,29,30,30
1652603381188,COGS 186,A01,083986,Staff,0,0,40,40
1652603387221,COGS 187A,A01,083988,Boyle; Mary E. T.,0,14,60,60
1652603393246,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,29,15,15
1652603399282,CSE 11,A01,084005,Miranda; Gregory Joseph,0,58,55,55
1652603405309,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,10,27,27
1652603411341,CSE 21,A01,084009,Braun; Oliver,0,31,70,70
1652603417367,CSE 30,A01,083370,Cao; Yingjun,0,78,40,40
1652603423395,CSE 100,A01,083372,Cao; Yingjun,0,67,40,41
1652603429426,CSE 101,A01,084011,Braun; Oliver,0,82,40,40
1652603435452,CSE 141,A01,083374,Eldon; John,0,10,150,150
1652603441477,CSE 141L,A01,083376,Eldon; John,0,23,150,150
1652603447500,CSE 142,A01,093827,Staff,14,0,50,36
1652603453535,CSE 142L,A01,093829,Staff,17,0,50,33
1652603459561,CSE 175,A01,084013,Kumar; Rakesh,15,0,25,10
1652603465588,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1652603471613,ECE 5,A01,084049,Morris; Karcher William,11,0,20,9
1652603477648,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,0,20,20
1652603477648,ECE 100,A02,091916,Baghdadchi; Saharnaz,1,0,20,19
1652603483679,ECE 101,A01,084053,Baghdadchi; Saharnaz,0,0,37,37
1652603483679,ECE 101,A02,084054,Baghdadchi; Saharnaz,7,0,37,30
1652603489711,ECE 107,A01,083390,Staff,17,0,40,23
1652603495746,ECE 148,A01,084056,Silberman; Jack,0,0,12,12
1652603501774,ECE 180,A00,083391,Abi Samra; Nicholas Camill,18,0,30,12
1652603501774,ECE 180,B00,083392,Abi Samra; Nicholas Camill,13,0,30,17
1652603507800,MATH 10A,A01,093431,Hammock; Frances H,0,2,0,0
1652603513832,MATH 10B,A01,084110,Briones; Jor-el Thomas Caparas,0,6,30,30
1652603513832,MATH 10B,A02,084111,Briones; Jor-el Thomas Caparas,0,3,30,30
1652603513832,MATH 10B,A03,084112,Briones; Jor-el Thomas Caparas,0,3,30,30
1652603519865,MATH 10C,A01,083443,Rotar; Vladimir,0,34,30,30
1652603519865,MATH 10C,A02,083444,Rotar; Vladimir,0,33,30,30
1652603519865,MATH 10C,B01,084114,Staff,0,0,30,30
1652603519865,MATH 10C,B02,084115,Staff,16,0,30,14
1652603525896,MATH 18,A01,084117,Harel; Guershon,2,0,30,28
1652603525896,MATH 18,A02,084119,Harel; Guershon,25,0,30,5
1652603525896,MATH 18,A03,084120,Harel; Guershon,28,0,30,2
1652603525896,MATH 18,A04,084121,Harel; Guershon,26,0,30,4
1652603531920,MATH 20A,A01,093429,Staff,0,2,0,0
1652603537946,MATH 20B,A01,084124,Um; Ko Woon,0,12,35,35
1652603537946,MATH 20B,B01,084126,Um; Ko Woon,0,9,35,35
1652603543976,MATH 20C,A01,083446,Hammock; Frances H,0,1,30,30
1652603543976,MATH 20C,A02,083447,Hammock; Frances H,1,0,30,29
1652603543976,MATH 20C,A03,083448,Hammock; Frances H,0,1,30,30
1652603543976,MATH 20C,A04,083449,Hammock; Frances H,0,0,30,30
1652603543976,MATH 20C,B01,083451,Hammock; Frances H,0,0,30,30
1652603543976,MATH 20C,B02,083452,Hammock; Frances H,1,0,30,29
1652603543976,MATH 20C,B03,083453,Hammock; Frances H,0,0,30,30
1652603543976,MATH 20C,B04,083454,Hammock; Frances H,9,0,30,21
1652603550006,MATH 20D,A01,084128,Sinha; Shubham,8,0,30,22
1652603550006,MATH 20D,A02,084129,Sinha; Shubham,27,0,30,3
1652603550006,MATH 20D,A03,084130,Sinha; Shubham,27,0,30,3
1652603550006,MATH 20D,B01,084133,Staff,0,0,30,30
1652603550006,MATH 20D,B02,084134,Staff,13,0,30,17
1652603550006,MATH 20D,B03,084135,Staff,27,0,30,3
1652603556038,MATH 20E,A01,084138,Tran; Khoa Dang,0,0,30,30
1652603556038,MATH 20E,A02,084139,Tran; Khoa Dang,0,0,30,30
1652603556038,MATH 20E,A03,084140,Tran; Khoa Dang,5,0,30,25
1652603556038,MATH 20E,A04,084141,Tran; Khoa Dang,6,0,30,24
1652603562069,MATH 102,A01,084143,Harel; Guershon,0,0,30,30
1652603562069,MATH 102,A02,084144,Harel; Guershon,2,0,30,28
1652603568100,MATH 103B,A01,083456,Staff,0,27,30,30
1652603568100,MATH 103B,A02,083457,Staff,0,27,30,30
1652603574133,MATH 109,A01,084146,Salehi Golsefidy; Alireza,3,0,30,27
1652603574133,MATH 109,A02,084147,Salehi Golsefidy; Alireza,2,0,30,28
1652603580238,MATH 120A,A01,085445,Eggers; John Dietrich,0,2,35,35
