time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650971986427,COGS 107B,A01,083980,Staff,0,19,50,50
1650971992457,COGS 115,A01,083982,Staff,6,0,30,24
1650971998487,COGS 118B,A01,083367,Staff,0,23,40,40
1650972004523,COGS 172,A01,083984,Provenzano; Emily Kara,8,0,30,22
1650972010555,COGS 177,A00,083368,Tung; Janet C,0,27,30,30
1650972016586,COGS 186,A01,083986,Staff,11,0,40,29
1650972030525,COGS 187A,A01,083988,Boyle; Mary E. T.,0,9,60,60
1650972036557,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,27,15,15
1650972050399,CSE 11,A01,084005,Miranda; Gregory Joseph,0,45,55,55
1650972056429,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,9,20,20
1650972062457,CSE 21,A01,084009,Braun; Oliver,0,43,50,50
1650972068491,CSE 30,A01,083370,Cao; Yingjun,0,72,40,40
1650972074517,CSE 100,A01,083372,Cao; Yingjun,0,67,40,40
1650972080552,CSE 101,A01,084011,Braun; Oliver,0,84,40,40
1650972086582,CSE 141,A01,083374,Eldon; John,2,4,150,148
1650972092614,CSE 141L,A01,083376,Eldon; John,0,11,150,150
1650972098656,CSE 175,A01,084013,Kumar; Rakesh,17,0,25,8
1650972104686,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1650972110721,ECE 5,A01,084049,Morris; Karcher William,9,0,20,11
1650972116754,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,1,20,20
1650972116754,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1650972122784,ECE 101,A01,084053,Baghdadchi; Saharnaz,1,0,37,36
1650972122784,ECE 101,A02,084054,Baghdadchi; Saharnaz,14,0,37,23
1650972128812,ECE 107,A01,083390,Staff,22,0,40,18
1650972134842,ECE 148,A01,084056,Silberman; Jack,2,0,12,10
1650972140877,ECE 180,A00,083391,Abi Samra; Nicholas Camill,22,0,30,8
1650972140877,ECE 180,B00,083392,Abi Samra; Nicholas Camill,14,0,30,16
1650972146906,MATH 10A,A01,093431,Staff,0,1,0,0
1650972152943,MATH 10B,A01,084110,Staff,0,1,30,30
1650972152943,MATH 10B,A02,084111,Staff,0,1,30,30
1650972152943,MATH 10B,A03,084112,Staff,12,0,30,18
1650972158976,MATH 10C,A01,083443,Staff,0,28,30,31
1650972158976,MATH 10C,A02,083444,Staff,0,26,30,30
1650972158976,MATH 10C,B01,084114,Staff,6,0,30,24
1650972158976,MATH 10C,B02,084115,Staff,22,0,30,8
1650972165005,MATH 18,A01,084117,Harel; Guershon,0,0,30,30
1650972165005,MATH 18,A02,084119,Harel; Guershon,26,0,30,4
1650972165005,MATH 18,A03,084120,Harel; Guershon,30,0,30,0
1650972165005,MATH 18,A04,084121,Harel; Guershon,26,0,30,4
1650972171039,MATH 20A,A01,093429,Staff,0,0,0,0
1650972177076,MATH 20B,A01,084124,Um; Ko Woon,0,4,35,35
1650972177076,MATH 20B,B01,084126,Um; Ko Woon,0,1,35,35
1650972183112,MATH 20C,A01,083446,Hammock; Frances H,0,0,30,30
1650972183112,MATH 20C,A02,083447,Hammock; Frances H,0,0,30,30
1650972183112,MATH 20C,A03,083448,Hammock; Frances H,5,0,30,25
1650972183112,MATH 20C,A04,083449,Hammock; Frances H,8,0,30,22
1650972183112,MATH 20C,B01,083451,Hammock; Frances H,0,0,30,30
1650972183112,MATH 20C,B02,083452,Hammock; Frances H,6,0,30,24
1650972183112,MATH 20C,B03,083453,Hammock; Frances H,12,0,30,18
1650972183112,MATH 20C,B04,083454,Hammock; Frances H,20,0,30,10
1650972189140,MATH 20D,A01,084128,Staff,7,0,30,23
1650972189140,MATH 20D,A02,084129,Staff,28,0,30,2
1650972189140,MATH 20D,A03,084130,Staff,25,0,30,5
1650972189140,MATH 20D,B01,084133,Staff,0,0,30,30
1650972189140,MATH 20D,B02,084134,Staff,16,0,30,14
1650972189140,MATH 20D,B03,084135,Staff,28,0,30,2
1650972195167,MATH 20E,A01,084138,Staff,6,0,30,24
1650972195167,MATH 20E,A02,084139,Staff,0,0,30,30
1650972195167,MATH 20E,A03,084140,Staff,10,0,30,20
1650972195167,MATH 20E,A04,084141,Staff,15,0,30,15
1650972201200,MATH 102,A01,084143,Harel; Guershon,2,0,30,28
1650972201200,MATH 102,A02,084144,Harel; Guershon,17,0,30,13
1650972207230,MATH 103B,A01,083456,Staff,0,20,30,30
1650972207230,MATH 103B,A02,083457,Staff,0,20,30,30
1650972213258,MATH 109,A01,084146,Salehi Golsefidy; Alireza,12,0,30,18
1650972213258,MATH 109,A02,084147,Salehi Golsefidy; Alireza,7,0,30,23
1650972219285,MATH 120A,A01,085445,Eggers; John Dietrich,0,0,35,35
1650972219285,MATH 120A,A02,085446,Eggers; John Dietrich,15,0,35,20
1650972225318,MATH 142B,A01,084149,Verstraete; Jacques Allan,0,15,30,30
1650972225318,MATH 142B,A02,084150,Verstraete; Jacques Allan,0,14,30,30
1650972231348,MATH 170A,A01,083459,Nie; Jiawang,0,20,30,30
1650972231348,MATH 170A,A02,083460,Nie; Jiawang,0,18,30,30
1650972231348,MATH 170A,A03,083461,Nie; Jiawang,0,18,30,30
1650972237377,MATH 193B,A01,083463,Staff,0,0,30,30
1650972237377,MATH 193B,A02,083464,Staff,5,0,30,25
1650972237377,MATH 193B,A03,083465,Staff,15,0,30,15
1650972243622,COGS 2,A01,083966,Boyle; Mary E. T.,1,2,31,30
1650972249656,COGS 9,A01,083968,Staff,1,15,60,59
1650972255689,COGS 14B,A01,083970,Staff,6,0,65,59
1650972261718,COGS 17,A01,092679,Staff,17,0,75,58
1650972267747,COGS 100,A01,083972,Staff,0,29,60,60
1650972279805,COGS 101C,A01,083976,Staff,0,1,30,30
1650972285836,COGS 102A,A01,083978,Johnson; Christine M.,0,8,30,30
1650972291868,COGS 107B,A01,083980,Staff,0,19,50,50
1650972297909,COGS 115,A01,083982,Staff,6,0,30,24
1650972303942,COGS 118B,A01,083367,Staff,0,23,40,40
1650972309973,COGS 172,A01,083984,Provenzano; Emily Kara,8,0,30,22
1650972316001,COGS 177,A00,083368,Tung; Janet C,0,27,30,30
1650972322035,COGS 186,A01,083986,Staff,11,0,40,29
1650972328064,COGS 187A,A01,083988,Boyle; Mary E. T.,0,9,60,60
1650972334097,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,27,15,15
1650972340132,CSE 11,A01,084005,Miranda; Gregory Joseph,0,45,55,55
1650972346162,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,9,20,20
1650972352193,CSE 21,A01,084009,Braun; Oliver,0,43,50,50
1650972358222,CSE 30,A01,083370,Cao; Yingjun,0,72,40,40
1650972364252,CSE 100,A01,083372,Cao; Yingjun,0,67,40,40
1650972370283,CSE 101,A01,084011,Braun; Oliver,0,84,40,40
1650972376322,CSE 141,A01,083374,Eldon; John,2,4,150,148
1650972382355,CSE 141L,A01,083376,Eldon; John,0,11,150,150
1650972388385,CSE 175,A01,084013,Kumar; Rakesh,17,0,25,8
1650972394421,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1650972400456,ECE 5,A01,084049,Morris; Karcher William,9,0,20,11
1650972406490,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,1,20,20
