time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total
1646852867579,COGS 1,A01,072894,Boyle; Mary E. T.,0,6,60
1646852867579,COGS 1,A02,072895,Boyle; Mary E. T.,1,7,60
1646852867579,COGS 1,A03,072896,Boyle; Mary E. T.,0,6,60
1646852867579,COGS 1,A04,072897,Boyle; Mary E. T.,0,6,60
1646852867579,COGS 1,A05,072898,Boyle; Mary E. T.,0,7,60
1646852867579,COGS 1,A06,072899,Boyle; Mary E. T.,0,7,60
1646852867579,COGS 1,A07,072900,Boyle; Mary E. T.,0,6,57
1646852870607,COGS 8,A01,072902,Staff,0,7,35
1646852873643,COGS 10,A01,072904,Klemmer; Scott R,0,0,60
1646852873643,COGS 10,A02,072905,Klemmer; Scott R,10,0,60
1646852873643,COGS 10,A03,072906,Klemmer; Scott R,10,0,60
1646852873643,COGS 10,A04,072907,Klemmer; Scott R,15,0,60
1646852873643,COGS 10,A05,072908,Klemmer; Scott R,31,0,60
1646852876666,COGS 11,A01,072910,Boroditsky; Lera,0,0,145
1646852879690,COGS 12,A00,072911,Boroditsky; Lera,0,2,50
1646852882724,COGS 14A,A01,072913,Davis; Joshua Daniel,0,20,60
1646852882724,COGS 14A,A02,072914,Davis; Joshua Daniel,0,17,60
1646852882724,COGS 14A,A03,072915,Davis; Joshua Daniel,0,16,60
1646852882724,COGS 14A,A04,072916,Davis; Joshua Daniel,0,20,60
1646852885753,COGS 14B,A01,072918,Barrera; Steven James,0,8,60
1646852885753,COGS 14B,A02,072919,Barrera; Steven James,0,7,60
1646852885753,COGS 14B,A03,072920,Barrera; Steven James,0,5,60
1646852888779,COGS 17,A01,072922,Johnson; Christine M.,0,12,60
1646852888779,COGS 17,A02,072923,Johnson; Christine M.,0,9,60
1646852888779,COGS 17,A03,072924,Johnson; Christine M.,0,11,60
1646852888779,COGS 17,A04,072925,Johnson; Christine M.,0,11,60
1646852888779,COGS 17,A05,072926,Johnson; Christine M.,0,10,60
1646852891808,COGS 18,A01,072928,Bardolph; Megan Dalene,0,14,35
1646852891808,COGS 18,A02,072929,Bardolph; Megan Dalene,0,15,35
1646852891808,COGS 18,A03,072930,Bardolph; Megan Dalene,0,15,35
1646852891808,COGS 18,A04,072931,Bardolph; Megan Dalene,0,18,35
1646852891808,COGS 18,A05,072932,Bardolph; Megan Dalene,0,15,35
1646852891808,COGS 18,A06,072933,Bardolph; Megan Dalene,0,16,35
1646852891808,COGS 18,A07,072934,Bardolph; Megan Dalene,0,15,35
1646852891808,COGS 18,A08,072935,Bardolph; Megan Dalene,0,15,35
1646852891808,COGS 18,B01,083188,Green; Daniel Richard,0,3,0
1646852894831,COGS 87,A00,073397,Deak; Gedeon O.,0,9,20
1646852897855,COGS 99,001,084891,Johnson; Christine M.,9997,0,9999
1646852900883,COGS 100,A01,072942,Scott; Taylor Jackson,0,19,60
