time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total
1646594457735,COGS 1,A01,072894,Boyle; Mary E. T.,0,7,60
1646594457735,COGS 1,A02,072895,Boyle; Mary E. T.,0,7,60
1646594457735,COGS 1,A03,072896,Boyle; Mary E. T.,0,6,60
1646594457735,COGS 1,A04,072897,Boyle; Mary E. T.,0,6,60
1646594457735,COGS 1,A05,072898,Boyle; Mary E. T.,0,8,60
1646594457735,COGS 1,A06,072899,Boyle; Mary E. T.,0,7,60
1646594457735,COGS 1,A07,072900,Boyle; Mary E. T.,0,6,57
1646594460762,COGS 8,A01,072902,Staff,0,7,35
1646594463786,COGS 10,A01,072904,Klemmer; Scott R,0,0,60
1646594463786,COGS 10,A02,072905,Klemmer; Scott R,12,0,60
1646594463786,COGS 10,A03,072906,Klemmer; Scott R,9,0,60
1646594463786,COGS 10,A04,072907,Klemmer; Scott R,16,0,60
1646594463786,COGS 10,A05,072908,Klemmer; Scott R,30,0,60
1646594466809,COGS 11,A01,072910,Boroditsky; Lera,0,1,145
1646594469832,COGS 12,A00,072911,Boroditsky; Lera,0,2,50
1646594472877,COGS 14A,A01,072913,Davis; Joshua Daniel,1,21,60
1646594472877,COGS 14A,A02,072914,Davis; Joshua Daniel,0,19,60
1646594472877,COGS 14A,A03,072915,Davis; Joshua Daniel,0,17,60
1646594472877,COGS 14A,A04,072916,Davis; Joshua Daniel,0,18,60
1646594475901,COGS 14B,A01,072918,Barrera; Steven James,0,8,60
1646594475901,COGS 14B,A02,072919,Barrera; Steven James,0,7,60
1646594475901,COGS 14B,A03,072920,Barrera; Steven James,0,5,60
1646594478927,COGS 17,A01,072922,Johnson; Christine M.,0,13,60
1646594478927,COGS 17,A02,072923,Johnson; Christine M.,0,10,60
1646594478927,COGS 17,A03,072924,Johnson; Christine M.,0,11,60
1646594478927,COGS 17,A04,072925,Johnson; Christine M.,0,10,60
1646594478927,COGS 17,A05,072926,Johnson; Christine M.,0,10,60
1646594481958,COGS 18,A01,072928,Bardolph; Megan Dalene,0,16,35
1646594481958,COGS 18,A02,072929,Bardolph; Megan Dalene,0,16,35
1646594481958,COGS 18,A03,072930,Bardolph; Megan Dalene,0,16,35
1646594481958,COGS 18,A04,072931,Bardolph; Megan Dalene,0,18,35
1646594481958,COGS 18,A05,072932,Bardolph; Megan Dalene,0,16,35
1646594481958,COGS 18,A06,072933,Bardolph; Megan Dalene,0,15,35
1646594481958,COGS 18,A07,072934,Bardolph; Megan Dalene,0,15,35
