time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1656847127480,COGS 9,A01,083615,Shannon; Kyle Michael,6,0,75,69
1656847133515,COGS 11,A01,083617,Boyle; Mary E. T.,18,0,48,30
1656847139552,COGS 13,A01,083071,Bastos; Amalia Pinkusfeld,8,0,71,63
1656847145590,COGS 14A,A01,092681,Semenuks; Arturs,0,1,100,100
1656847151622,COGS 14B,A01,083073,Cheng; Tzu-Han,5,0,63,58
1656847157658,COGS 17,A01,092677,Semenuks; Arturs,4,0,81,77
1656847163696,COGS 100,A01,083619,Allen; Michael Gordon,15,0,70,55
1656847169730,COGS 101A,A01,083621,Davis; Joshua Daniel,9,0,68,59
1656847175766,COGS 101B,A01,091572,Allen; Michael Gordon,8,0,65,57
1656847181794,COGS 101C,A01,083625,Delgado; Tania,17,0,35,18
1656847187828,COGS 107A,A01,083627,Boyle; Mary E. T.,13,0,60,47
1656847193860,COGS 118A,A01,083075,Gupta; Anjum,15,0,76,61
1656847199898,CSE 3,A50,083646,Miranda; Gregory Joseph,22,0,50,28
1656847205931,CSE 8A,A50,083650,Miranda; Gregory Joseph,17,1,56,39
1656847211961,CSE 11,A01,083080,Cao; Yingjun,4,15,40,36
1656847218000,CSE 12,A01,083652,Krause-Levy; Sophia Louisa,20,1,120,100
1656847224032,CSE 15L,A01,083654,Morris; Justin Loren,8,0,50,42
1656847224032,CSE 15L,A02,083655,Morris; Justin Loren,8,0,50,42
1656847230067,CSE 20,A01,083657,Tran; Khoa Dang,37,0,80,43
1656847236105,CSE 21,A01,095574,Bach; Quang Tran,21,0,48,27
1656847242146,CSE 30,A01,083084,Eldon; John,4,0,80,76
1656847242146,CSE 30,B01,095061,Bhaskar; Nishant,6,0,50,44
1656847248179,CSE 100,A01,083659,Cao; Yingjun,2,4,70,68
1656847254210,CSE 134B,A01,083661,Powell; Thomas Allan,19,0,100,81
1656847260253,CSE 140,A01,083663,Gungor; Onat,14,0,85,71
1656847266279,CSE 140L,A01,083088,Eldon; John,16,0,100,84
1656847272317,CSE 175,A01,083665,Kumar; Rakesh,3,0,25,22
1656847278356,CSE 190,A00,092507,Dubnov; Shlomo,7,0,20,13
1656847284388,ECE 45,A01,083139,Congero; Spencer William,5,0,75,70
1656847290421,ECE 65,A50,083695,Saad; Andrew S,12,0,30,18
1656847290421,ECE 65,A51,095125,Saad; Andrew S,25,0,26,1
1656847296456,ECE 109,A01,091882,Touri; Behrouz,16,0,70,54
1656847302487,ECE 180,A00,083140,Abi Samra; Nicholas Camill,0,0,30,30
1656847302487,ECE 180,B00,083141,Abi Samra; Nicholas Camill,0,0,30,30
1656847308517,MATH 10A,A01,083735,Patchell; Gregory David,1,0,30,29
1656847308517,MATH 10A,A02,083736,Patchell; Gregory David,20,0,30,10
1656847308517,MATH 10A,A03,083737,Patchell; Gregory David,15,0,30,15
1656847314557,MATH 10B,A01,083207,Lim; Seonhee,7,0,34,27
1656847314557,MATH 10B,A02,083208,Lim; Seonhee,9,0,35,26
1656847314557,MATH 10B,A03,093472,Lim; Seonhee,4,0,34,30
1656847314557,MATH 10B,B01,083739,Sinha; Shubham,9,0,30,21
1656847320601,MATH 18,A01,083743,Cinel; Cameron Alexander,6,0,30,24
