time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1657106063749,COGS 9,A01,083615,Shannon; Kyle Michael,7,0,75,68
1657106069783,COGS 11,A01,083617,Boyle; Mary E. T.,21,0,48,27
1657106075811,COGS 13,A01,083071,Bastos; Amalia Pinkusfeld,9,0,71,62
1657106081841,COGS 14A,A01,092681,Semenuks; Arturs,1,1,100,99
1657106087871,COGS 14B,A01,083073,Cheng; Tzu-Han,6,0,63,57
1657106093903,COGS 17,A01,092677,Semenuks; Arturs,4,0,81,77
1657106099933,COGS 100,A01,083619,Allen; Michael Gordon,15,0,70,55
1657106105962,COGS 101A,A01,083621,Davis; Joshua Daniel,9,0,68,59
1657106111994,COGS 101B,A01,091572,Allen; Michael Gordon,8,0,65,57
1657106118025,COGS 101C,A01,083625,Delgado; Tania,17,0,35,18
1657106124056,COGS 107A,A01,083627,Boyle; Mary E. T.,13,0,60,47
1657106130090,COGS 118A,A01,083075,Gupta; Anjum,15,0,76,61
1657106136121,CSE 3,A50,083646,Miranda; Gregory Joseph,22,0,50,28
1657106142152,CSE 8A,A50,083650,Miranda; Gregory Joseph,17,1,56,39
1657106148181,CSE 11,A01,083080,Cao; Yingjun,4,15,40,36
1657106154219,CSE 12,A01,083652,Krause-Levy; Sophia Louisa,23,1,120,97
1657106160247,CSE 15L,A01,083654,Morris; Justin Loren,9,0,50,41
1657106160247,CSE 15L,A02,083655,Morris; Justin Loren,9,0,50,41
1657106166279,CSE 20,A01,083657,Tran; Khoa Dang,37,0,80,43
1657106172305,CSE 21,A01,095574,Bach; Quang Tran,21,0,48,27
1657106178345,CSE 30,A01,083084,Eldon; John,4,0,80,76
1657106178345,CSE 30,B01,095061,Bhaskar; Nishant,6,0,50,44
1657106184381,CSE 100,A01,083659,Cao; Yingjun,4,4,70,66
1657106190410,CSE 134B,A01,083661,Powell; Thomas Allan,19,0,100,81
1657106196439,CSE 140,A01,083663,Gungor; Onat,14,0,85,71
1657106202469,CSE 140L,A01,083088,Eldon; John,16,0,100,84
