time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1657278838689,COGS 9,A01,083615,Shannon; Kyle Michael,8,0,75,67
1657278844720,COGS 11,A01,083617,Boyle; Mary E. T.,22,0,48,26
1657278850758,COGS 13,A01,083071,Bastos; Amalia Pinkusfeld,9,0,71,62
1657278856801,COGS 14A,A01,092681,Semenuks; Arturs,2,1,100,98
1657278862837,COGS 14B,A01,083073,Cheng; Tzu-Han,6,0,63,57
1657278868872,COGS 17,A01,092677,Semenuks; Arturs,5,0,81,76
1657278874909,COGS 100,A01,083619,Allen; Michael Gordon,16,0,70,54
1657278880946,COGS 101A,A01,083621,Davis; Joshua Daniel,9,0,68,59
1657278886977,COGS 101B,A01,091572,Allen; Michael Gordon,11,0,65,54
1657278893011,COGS 101C,A01,083625,Delgado; Tania,17,0,35,18
1657278899044,COGS 107A,A01,083627,Boyle; Mary E. T.,13,0,60,47
1657278905070,COGS 118A,A01,083075,Gupta; Anjum,18,0,76,58
1657278911109,CSE 3,A50,083646,Miranda; Gregory Joseph,24,0,50,26
1657278917144,CSE 8A,A50,083650,Miranda; Gregory Joseph,17,1,56,39
1657278923176,CSE 11,A01,083080,Cao; Yingjun,5,15,40,35
1657278929210,CSE 12,A01,083652,Krause-Levy; Sophia Louisa,26,1,120,94
1657278935244,CSE 15L,A01,083654,Morris; Justin Loren,9,0,50,41
1657278935244,CSE 15L,A02,083655,Morris; Justin Loren,9,0,50,41
1657278941276,CSE 20,A01,083657,Tran; Khoa Dang,38,0,80,42
1657278947312,CSE 21,A01,095574,Bach; Quang Tran,22,0,48,26
1657278953346,CSE 30,A01,083084,Eldon; John,4,0,80,76
1657278953346,CSE 30,B01,095061,Bhaskar; Nishant,8,0,50,42
1657278959389,CSE 100,A01,083659,Cao; Yingjun,4,4,70,66
1657278965473,CSE 134B,A01,083661,Powell; Thomas Allan,21,0,100,79
1657278971511,CSE 140,A01,083663,Gungor; Onat,13,0,85,72
1657278977548,CSE 140L,A01,083088,Eldon; John,19,0,100,81
1657278983591,CSE 175,A01,083665,Kumar; Rakesh,3,0,25,22
1657278989629,CSE 190,A00,092507,Dubnov; Shlomo,7,0,20,13
1657278995659,ECE 45,A01,083139,Congero; Spencer William,5,0,75,70
1657279001701,ECE 65,A50,083695,Saad; Andrew S,12,0,30,18
1657279001701,ECE 65,A51,095125,Saad; Andrew S,25,0,26,1
1657279007733,ECE 109,A01,091882,Touri; Behrouz,19,0,70,51
1657279013804,ECE 180,A00,083140,Abi Samra; Nicholas Camill,1,0,30,29
1657279013804,ECE 180,B00,083141,Abi Samra; Nicholas Camill,0,0,30,30
1657279019839,MATH 10A,A01,083735,Patchell; Gregory David,2,0,30,28
1657279019839,MATH 10A,A02,083736,Patchell; Gregory David,20,0,30,10
1657279019839,MATH 10A,A03,083737,Patchell; Gregory David,16,0,30,14
1657279025885,MATH 10B,A01,083207,Lim; Seonhee,7,0,34,27
1657279025885,MATH 10B,A02,083208,Lim; Seonhee,9,0,35,26
1657279025885,MATH 10B,A03,093472,Lim; Seonhee,5,0,34,29
1657279025885,MATH 10B,B01,083739,Sinha; Shubham,11,0,30,19
1657279031937,MATH 18,A01,083743,Cinel; Cameron Alexander,6,0,30,24
1657279031937,MATH 18,A02,083744,Cinel; Cameron Alexander,17,0,30,13
1657279031937,MATH 18,A03,083745,Cinel; Cameron Alexander,8,0,30,22
1657279031937,MATH 18,B01,083748,Rideout; David Porter,4,0,37,33
1657279031937,MATH 18,B02,083749,Rideout; David Porter,4,0,36,32
1657279031937,MATH 18,B03,083750,Rideout; David Porter,2,0,37,35
1657279031937,MATH 18,B04,083751,Rideout; David Porter,6,0,36,30
