time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1657971539730,MATH 18,B02,083749,Rideout; David Porter,5,0,36,31
1657971539730,MATH 18,B03,083750,Rideout; David Porter,3,0,37,34
1657971539730,MATH 18,B04,083751,Rideout; David Porter,7,0,36,29
1657971539730,MATH 18,B05,093473,Rideout; David Porter,7,0,36,29
1657971539730,MATH 18,B06,093474,Rideout; David Porter,6,0,36,30
1657971545757,MATH 20A,A01,083754,Zheng; Zequn,14,0,40,26
1657971551786,MATH 20B,A01,083756,Briones; Jor-el Thomas Caparas,4,0,36,32
1657971551786,MATH 20B,A02,083757,Briones; Jor-el Thomas Caparas,1,0,36,35
1657971551786,MATH 20B,A03,093475,Briones; Jor-el Thomas Caparas,3,0,36,33
1657971557831,MATH 20C,A01,083760,Briones; Jor-el Thomas Caparas,1,0,35,34
1657971557831,MATH 20C,A02,083761,Briones; Jor-el Thomas Caparas,8,0,35,27
1657971557831,MATH 20C,A03,093476,Briones; Jor-el Thomas Caparas,0,1,36,36
1657971557831,MATH 20C,B01,083762,Bach; Quang Tran,1,0,30,29
1657971563857,MATH 20D,A01,083765,Tran; Brian Kha,5,0,30,25
1657971563857,MATH 20D,A02,083766,Tran; Brian Kha,5,0,30,25
1657971563857,MATH 20D,A03,083767,Tran; Brian Kha,6,0,30,24
1657971569910,MATH 20E,A01,083771,Ganguly; Soumya,12,0,32,20
1657971569910,MATH 20E,A02,083772,Ganguly; Soumya,7,0,32,25
1657971569910,MATH 20E,B01,083773,Ciotti; Benjamin,20,0,35,15
1657971569910,MATH 20E,B02,083774,Ciotti; Benjamin,18,0,35,17
1657971575950,MATH 103A,A01,083777,Greenfeld; Be'Eri,6,0,36,30
1657971575950,MATH 103A,A02,083778,Greenfeld; Be'Eri,5,0,36,31
1657971575950,MATH 103A,A03,093561,Greenfeld; Be'Eri,7,0,36,29
1657971575950,MATH 103A,B01,083779,Greenfeld; Be'Eri,8,0,36,28
1657971575950,MATH 103A,B02,083780,Greenfeld; Be'Eri,4,0,36,32
1657971575950,MATH 103A,B03,093562,Greenfeld; Be'Eri,3,0,36,33
