time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1657020546984,COGS 9,A01,083615,Shannon; Kyle Michael,7,0,75,68
1657020553013,COGS 11,A01,083617,Boyle; Mary E. T.,20,0,48,28
1657020559053,COGS 13,A01,083071,Bastos; Amalia Pinkusfeld,9,0,71,62
1657020565084,COGS 14A,A01,092681,Semenuks; Arturs,0,1,100,100
1657020571121,COGS 14B,A01,083073,Cheng; Tzu-Han,5,0,63,58
1657020577154,COGS 17,A01,092677,Semenuks; Arturs,4,0,81,77
1657020583183,COGS 100,A01,083619,Allen; Michael Gordon,15,0,70,55
1657020589214,COGS 101A,A01,083621,Davis; Joshua Daniel,9,0,68,59
1657020595264,COGS 101B,A01,091572,Allen; Michael Gordon,8,0,65,57
1657020601294,COGS 101C,A01,083625,Delgado; Tania,17,0,35,18
1657020607324,COGS 107A,A01,083627,Boyle; Mary E. T.,13,0,60,47
1657020613365,COGS 118A,A01,083075,Gupta; Anjum,15,0,76,61
1657020619402,CSE 3,A50,083646,Miranda; Gregory Joseph,22,0,50,28
1657020625434,CSE 8A,A50,083650,Miranda; Gregory Joseph,17,1,56,39
1657020631466,CSE 11,A01,083080,Cao; Yingjun,4,15,40,36
1657020637502,CSE 12,A01,083652,Krause-Levy; Sophia Louisa,21,1,120,99
1657020643539,CSE 15L,A01,083654,Morris; Justin Loren,8,0,50,42
1657020643539,CSE 15L,A02,083655,Morris; Justin Loren,9,0,50,41
1657020649580,CSE 20,A01,083657,Tran; Khoa Dang,37,0,80,43
1657020655609,CSE 21,A01,095574,Bach; Quang Tran,21,0,48,27
1657020661638,CSE 30,A01,083084,Eldon; John,4,0,80,76
1657020661638,CSE 30,B01,095061,Bhaskar; Nishant,6,0,50,44
1657020667665,CSE 100,A01,083659,Cao; Yingjun,3,4,70,67
1657020673700,CSE 134B,A01,083661,Powell; Thomas Allan,19,0,100,81
1657020679727,CSE 140,A01,083663,Gungor; Onat,14,0,85,71
1657020685755,CSE 140L,A01,083088,Eldon; John,16,0,100,84
1657020691788,CSE 175,A01,083665,Kumar; Rakesh,3,0,25,22
1657020697815,CSE 190,A00,092507,Dubnov; Shlomo,7,0,20,13
1657020703856,ECE 45,A01,083139,Congero; Spencer William,5,0,75,70
1657020709896,ECE 65,A50,083695,Saad; Andrew S,12,0,30,18
1657020709896,ECE 65,A51,095125,Saad; Andrew S,25,0,26,1
