time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1654187818514,AAS 10,A01,085689,Butler; Elizabeth Annette,0,0,34,34
1654187818514,AAS 10,A02,085690,Butler; Elizabeth Annette,0,1,34,34
1654187819037,AAS 170,A00,085691,Butler; Elizabeth Annette,28,0,32,4
1654187819560,AIP 197,001,085683,Staff,100,0,100,0
1654187819560,AIP 197,002,085684,Rao; Ramesh R,50,0,50,0
1654187820090,AIP 197DC,001,085696,Anderson; Patrick W.,27,0,27,0
1654187820624,AIP 197T,A00,085685,Anderson; Patrick W.,15,0,15,0
1654187821148,ANAR 100,A00,094326,Fortier; Jana,3,0,20,17
1654187821683,ANAR 104,A01,085846,Staff,0,4,15,15
1654187822209,ANAR 120,A00,085847,Staff,0,2,15,15
1654187822737,ANAR 143,A00,094288,Staff,1,0,24,23
1654187823264,ANBI 100,A00,085849,Marchetto; Maria Carolina,10,0,24,14
1654187823787,ANBI 112,A00,085850,Marchetto; Maria Carolina,0,12,25,25
1654187824316,ANBI 118,A00,085851,Fox; Patrick Keolu Ozer,12,0,24,12
1654187824845,ANBI 136,A00,085852,Semendeferi; Ekaterini,7,0,22,15
1654187825380,ANBI 141,A00,085854,Gagneux; Pascal,42,0,140,98
1654187825912,ANBI 145,A00,085855,Staff,5,0,24,19
1654187826434,ANBI 175,A00,085857,Staff,13,0,24,11
1654187826957,ANSC 104,A00,094290,Yeh; Rihan Wen Xin,16,0,46,30
1654187827487,ANSC 105,A00,085859,Olivas Hernandez; Olga Lid,0,1,37,37
1654187828015,ANSC 120,A00,085860,Jassal; Aftab,0,2,34,34
1654187828551,ANSC 121,A00,085861,Staff,0,5,28,28
1654187829620,ANSC 148,A00,085866,Staff,7,0,25,18
1654187830164,ANSC 169,A00,085869,Fortier; Jana,7,0,20,13
1654187830703,ANSC 175,A00,085871,Pedersen; David,0,5,24,24
1654187831224,ANTH 1,A00,085803,Varma; Saiba,128,0,146,18
1654187831754,ANTH 2,A01,085805,Staff,18,0,32,14
1654187831754,ANTH 2,A02,085806,Staff,24,0,32,8
1654187831754,ANTH 2,A03,085807,Staff,31,0,32,1
1654187831754,ANTH 2,A04,085808,Staff,30,0,32,2
1654187831754,ANTH 2,A05,085809,Staff,29,0,32,3
1654187832298,ANTH 4,A01,085811,Yeh; Rihan Wen Xin,24,0,32,8
1654187832298,ANTH 4,A02,095113,Yeh; Rihan Wen Xin,32,0,32,0
1654187832298,ANTH 4,A03,095114,Yeh; Rihan Wen Xin,32,0,32,0
1654187832298,ANTH 4,A04,095115,Yeh; Rihan Wen Xin,30,0,32,2
1654187832820,ANTH 10,B00,095642,Stewart; Alexander B,137,0,140,3
1654187833355,ANTH 21,A01,085816,Kang; Byung Chu,21,0,32,11
1654187833355,ANTH 21,A02,085817,Kang; Byung Chu,29,0,32,3
1654187833355,ANTH 21,A03,085818,Kang; Byung Chu,29,0,32,3
1654187833355,ANTH 21,A04,085819,Kang; Byung Chu,11,0,32,21
1654187833355,ANTH 21,A05,085820,Kang; Byung Chu,13,0,32,19
1654187833355,ANTH 21,A06,085821,Kang; Byung Chu,0,0,32,32
1654187833355,ANTH 21,A07,085822,Kang; Byung Chu,20,0,32,12
1654187833355,ANTH 21,A08,085823,Kang; Byung Chu,30,0,32,2
1654187833355,ANTH 21,A09,085824,Kang; Byung Chu,0,0,0,0
1654187833355,ANTH 21,A10,085825,Kang; Byung Chu,0,0,0,0
1654187833355,ANTH 21,A11,095111,Kang; Byung Chu,30,0,30,0
1654187833355,ANTH 21,A12,095112,Kang; Byung Chu,30,0,30,0
1654187833355,ANTH 21,B01,085827,Staff,23,0,32,9
1654187833355,ANTH 21,B02,085828,Staff,30,0,32,2
1654187833355,ANTH 21,B03,085829,Staff,29,0,32,3
1654187833355,ANTH 21,B04,085830,Staff,24,0,32,8
1654187833880,ANTH 23,A01,085832,Stewart; Alexander B,27,0,31,4
1654187833880,ANTH 23,A02,085833,Stewart; Alexander B,31,0,31,0
1654187833880,ANTH 23,A03,085834,Stewart; Alexander B,28,0,31,3
1654187833880,ANTH 23,A04,085835,Stewart; Alexander B,15,0,31,16
1654187833880,ANTH 23,A05,085836,Stewart; Alexander B,23,0,31,8
1654187833880,ANTH 23,A06,085837,Stewart; Alexander B,0,0,0,0
