time,available,waitlisted,total,normalized
2022-02-12T07:07:59,90,0,90,1.0
2022-02-12T07:16:13,90,0,90,1.0
2022-02-12T07:24:21,90,0,90,1.0
2022-02-12T07:32:28,90,0,90,1.0
2022-02-12T07:40:36,90,0,90,1.0
2022-02-12T07:48:43,90,0,90,1.0
2022-02-12T07:56:51,90,0,90,1.0
2022-02-12T08:04:59,90,0,90,1.0
2022-02-12T08:13:07,90,0,90,1.0
2022-02-12T08:21:14,90,0,90,1.0
2022-02-12T08:29:21,90,0,90,1.0
2022-02-12T08:37:29,90,0,90,1.0
2022-02-12T08:45:44,90,0,90,1.0
2022-02-12T08:53:52,90,0,90,1.0
2022-02-12T09:01:59,90,0,90,1.0
2022-02-12T09:10:07,90,0,90,1.0
2022-02-12T09:18:14,90,0,90,1.0
2022-02-12T09:26:21,90,0,90,1.0
2022-02-12T09:34:29,90,0,90,1.0
2022-02-12T09:42:36,90,0,90,1.0
2022-02-12T09:50:44,90,0,90,1.0
2022-02-12T09:58:51,90,0,90,1.0
2022-02-12T10:06:59,90,0,90,1.0
2022-02-12T10:15:06,90,0,90,1.0
2022-02-12T10:23:14,90,0,90,1.0
2022-02-12T10:31:29,90,0,90,1.0
2022-02-12T10:39:37,90,0,90,1.0
2022-02-12T10:47:44,90,0,90,1.0
2022-02-12T10:55:52,90,0,90,1.0
2022-02-12T11:03:59,90,0,90,1.0
2022-02-12T11:12:07,90,0,90,1.0
2022-02-12T11:20:15,90,0,90,1.0
2022-02-12T11:28:22,90,0,90,1.0
2022-02-12T11:36:30,90,0,90,1.0
2022-02-12T11:44:37,90,0,90,1.0
2022-02-12T11:52:54,90,0,90,1.0
2022-02-12T12:01:01,90,0,90,1.0
2022-02-12T12:09:09,90,0,90,1.0
2022-02-12T12:17:16,90,0,90,1.0
2022-02-12T12:25:23,90,0,90,1.0
2022-02-12T12:33:31,90,0,90,1.0
2022-02-12T12:41:39,90,0,90,1.0
2022-02-12T12:49:53,90,0,90,1.0
2022-02-12T12:58:00,90,0,90,1.0
2022-02-12T13:06:08,90,0,90,1.0
2022-02-12T13:14:15,90,0,90,1.0
2022-02-12T13:22:23,90,0,90,1.0
2022-02-12T13:30:30,90,0,90,1.0
2022-02-12T13:38:37,90,0,90,1.0
2022-02-12T13:46:45,90,0,90,1.0
2022-02-12T13:54:52,90,0,90,1.0
2022-02-12T14:03:00,90,0,90,1.0
2022-02-12T14:11:07,90,0,90,1.0
2022-02-12T14:19:15,90,0,90,1.0
2022-02-12T14:27:33,90,0,90,1.0
2022-02-12T14:35:40,90,0,90,1.0
2022-02-12T14:43:47,90,0,90,1.0
2022-02-12T14:51:55,90,0,90,1.0
2022-02-12T15:00:02,90,0,90,1.0
2022-02-12T15:08:10,90,0,90,1.0
2022-02-12T15:16:18,90,0,90,1.0
2022-02-12T15:24:26,90,0,90,1.0
2022-02-12T15:32:34,90,0,90,1.0
2022-02-12T15:40:42,90,0,90,1.0
2022-02-12T15:48:57,90,0,90,1.0
2022-02-12T15:57:05,90,0,90,1.0
2022-02-12T16:05:12,90,0,90,1.0
2022-02-12T16:13:19,90,0,90,1.0
2022-02-12T16:21:27,90,0,90,1.0
2022-02-12T16:29:34,90,0,90,1.0
2022-02-12T16:37:42,90,0,90,1.0
2022-02-12T16:45:49,90,0,90,1.0
2022-02-12T16:53:57,90,0,90,1.0
2022-02-12T17:02:04,90,0,90,1.0
2022-02-12T17:10:21,90,0,90,1.0
2022-02-12T17:18:29,90,0,90,1.0
2022-02-12T17:26:36,90,0,90,1.0
2022-02-12T17:34:44,90,0,90,1.0
2022-02-12T17:42:51,90,0,90,1.0
2022-02-12T17:50:59,90,0,90,1.0
2022-02-12T17:59:06,90,0,90,1.0
2022-02-12T18:07:13,90,0,90,1.0
2022-02-12T18:15:28,90,0,90,1.0
2022-02-12T18:23:36,90,0,90,1.0
2022-02-12T18:31:43,90,0,90,1.0
2022-02-12T18:39:50,90,0,90,1.0
2022-02-12T18:47:58,90,0,90,1.0
2022-02-12T18:56:05,90,0,90,1.0
2022-02-12T19:04:13,90,0,90,1.0
2022-02-12T19:12:20,90,0,90,1.0
2022-02-12T19:20:28,90,0,90,1.0
2022-02-12T19:28:35,90,0,90,1.0
2022-02-12T19:36:43,90,0,90,1.0
2022-02-12T19:44:59,90,0,90,1.0
2022-02-12T19:53:06,90,0,90,1.0
2022-02-12T20:01:13,90,0,90,1.0
2022-02-12T20:09:21,90,0,90,1.0
2022-02-12T20:17:28,90,0,90,1.0
2022-02-12T20:25:36,90,0,90,1.0
2022-02-12T20:33:43,90,0,90,1.0
2022-02-12T20:41:51,90,0,90,1.0
2022-02-12T20:49:58,90,0,90,1.0
2022-02-12T20:58:05,90,0,90,1.0
2022-02-12T21:06:13,90,0,90,1.0
2022-02-12T21:14:21,90,0,90,1.0
2022-02-12T21:22:37,90,0,90,1.0
2022-02-12T21:30:44,90,0,90,1.0
2022-02-12T21:38:52,90,0,90,1.0
2022-02-12T21:46:59,90,0,90,1.0
2022-02-12T21:55:07,90,0,90,1.0
2022-02-12T22:03:14,90,0,90,1.0
2022-02-12T22:11:21,90,0,90,1.0
2022-02-12T22:19:29,90,0,90,1.0
2022-02-12T22:27:36,90,0,90,1.0
2022-02-12T22:35:44,90,0,90,1.0
2022-02-12T22:43:51,90,0,90,1.0
2022-02-12T22:51:59,90,0,90,1.0
2022-02-12T23:00:17,90,0,90,1.0
2022-02-12T23:08:24,90,0,90,1.0
2022-02-12T23:16:32,90,0,90,1.0
2022-02-12T23:24:39,90,0,90,1.0
2022-02-12T23:32:47,90,0,90,1.0
2022-02-12T23:40:54,90,0,90,1.0
2022-02-13T00:41:27,90,0,90,1.0
2022-02-13T00:49:34,90,0,90,1.0
2022-02-13T00:57:42,90,0,90,1.0
2022-02-13T01:05:49,90,0,90,1.0
2022-02-13T01:13:57,90,0,90,1.0
2022-02-13T01:22:12,90,0,90,1.0
2022-02-13T01:30:20,90,0,90,1.0
2022-02-13T01:38:27,90,0,90,1.0
2022-02-13T01:46:35,90,0,90,1.0
2022-02-13T01:54:42,90,0,90,1.0
2022-02-13T02:02:49,90,0,90,1.0
2022-02-13T02:10:57,90,0,90,1.0
2022-02-13T02:19:05,90,0,90,1.0
2022-02-13T02:27:13,90,0,90,1.0
2022-02-13T02:35:21,90,0,90,1.0
2022-02-13T02:43:29,90,0,90,1.0
2022-02-13T02:51:37,90,0,90,1.0
2022-02-13T02:59:45,90,0,90,1.0
2022-02-13T03:07:53,90,0,90,1.0
2022-02-13T03:16:01,90,0,90,1.0
2022-02-13T03:24:09,90,0,90,1.0
2022-02-13T03:32:17,90,0,90,1.0
2022-02-13T03:40:24,90,0,90,1.0
2022-02-13T03:48:32,90,0,90,1.0
2022-02-13T03:56:40,90,0,90,1.0
2022-02-13T04:04:48,90,0,90,1.0
2022-02-13T04:25:20,90,0,90,1.0
2022-02-13T04:34:33,90,0,90,1.0
2022-02-13T04:42:41,90,0,90,1.0
2022-02-13T04:50:49,90,0,90,1.0
2022-02-13T04:58:57,90,0,90,1.0
2022-02-13T05:07:05,90,0,90,1.0
2022-02-13T05:15:13,90,0,90,1.0
2022-02-13T05:23:22,90,0,90,1.0
2022-02-13T05:31:30,90,0,90,1.0
2022-02-13T05:39:38,90,0,90,1.0
2022-02-13T05:47:45,90,0,90,1.0
2022-02-13T05:55:53,90,0,90,1.0
2022-02-13T06:04:01,90,0,90,1.0
2022-02-13T06:12:09,90,0,90,1.0
2022-02-13T06:20:16,90,0,90,1.0
2022-02-13T06:28:24,90,0,90,1.0
2022-02-13T06:36:32,90,0,90,1.0
2022-02-13T06:44:40,90,0,90,1.0
2022-02-13T06:52:48,90,0,90,1.0
2022-02-13T07:00:55,90,0,90,1.0
2022-02-13T07:09:03,90,0,90,1.0
2022-02-13T07:17:10,90,0,90,1.0
2022-02-13T07:25:18,90,0,90,1.0
2022-02-13T07:33:25,90,0,90,1.0
2022-02-13T07:41:33,90,0,90,1.0
2022-02-13T07:49:40,90,0,90,1.0
2022-02-13T07:57:48,90,0,90,1.0
2022-02-13T08:05:55,90,0,90,1.0
2022-02-13T08:14:02,90,0,90,1.0
2022-02-13T08:22:10,90,0,90,1.0
2022-02-13T08:30:18,90,0,90,1.0
2022-02-13T08:38:26,90,0,90,1.0
2022-02-13T08:46:34,90,0,90,1.0
2022-02-13T08:54:41,90,0,90,1.0
2022-02-13T09:02:49,90,0,90,1.0
2022-02-13T09:10:56,90,0,90,1.0
2022-02-13T09:19:03,90,0,90,1.0
2022-02-13T09:27:31,90,0,90,1.0
2022-02-13T09:35:39,90,0,90,1.0
2022-02-13T09:43:46,90,0,90,1.0
2022-02-13T09:51:53,90,0,90,1.0
2022-02-13T10:00:01,90,0,90,1.0
2022-02-13T10:08:08,90,0,90,1.0
2022-02-13T10:16:16,90,0,90,1.0
2022-02-13T10:24:23,90,0,90,1.0
2022-02-13T10:32:31,90,0,90,1.0
2022-02-13T10:40:38,90,0,90,1.0
2022-02-13T10:48:46,90,0,90,1.0
2022-02-13T10:56:53,90,0,90,1.0
2022-02-13T11:05:01,90,0,90,1.0
2022-02-13T11:13:08,90,0,90,1.0
2022-02-13T11:21:16,90,0,90,1.0
2022-02-13T11:29:23,90,0,90,1.0
2022-02-13T11:37:39,90,0,90,1.0
2022-02-13T11:45:47,90,0,90,1.0
2022-02-13T11:53:55,90,0,90,1.0
2022-02-13T12:02:02,90,0,90,1.0
2022-02-13T12:10:10,90,0,90,1.0
2022-02-13T12:18:17,90,0,90,1.0
2022-02-13T12:26:25,90,0,90,1.0
2022-02-13T12:34:32,90,0,90,1.0
2022-02-13T12:42:39,90,0,90,1.0
2022-02-13T12:50:47,90,0,90,1.0
2022-02-13T12:58:54,90,0,90,1.0
2022-02-13T13:07:02,90,0,90,1.0
2022-02-13T13:15:09,90,0,90,1.0
2022-02-13T13:23:17,90,0,90,1.0
2022-02-13T13:31:24,90,0,90,1.0
2022-02-13T13:39:41,90,0,90,1.0
2022-02-13T13:47:48,90,0,90,1.0
2022-02-13T13:55:56,90,0,90,1.0
2022-02-13T14:04:03,90,0,90,1.0
2022-02-13T14:12:10,90,0,90,1.0
2022-02-13T14:20:18,90,0,90,1.0
2022-02-13T14:28:25,90,0,90,1.0
2022-02-13T14:36:33,90,0,90,1.0
2022-02-13T14:44:40,90,0,90,1.0
2022-02-13T14:52:47,90,0,90,1.0
2022-02-13T15:00:55,90,0,90,1.0
