time,available,waitlisted,total,normalized_available,normalized_waitlisted
2022-02-12T07:04:42,145,0,145,1.0,0.0
2022-02-12T07:12:50,145,0,145,1.0,0.0
2022-02-12T07:21:04,145,0,145,1.0,0.0
2022-02-12T07:29:12,145,0,145,1.0,0.0
2022-02-12T07:37:19,145,0,145,1.0,0.0
2022-02-12T07:45:27,145,0,145,1.0,0.0
2022-02-12T07:53:34,145,0,145,1.0,0.0
2022-02-12T08:01:42,145,0,145,1.0,0.0
2022-02-12T08:09:50,145,0,145,1.0,0.0
2022-02-12T08:17:57,145,0,145,1.0,0.0
2022-02-12T08:26:05,145,0,145,1.0,0.0
2022-02-12T08:34:12,145,0,145,1.0,0.0
2022-02-12T08:42:28,145,0,145,1.0,0.0
2022-02-12T08:50:35,145,0,145,1.0,0.0
2022-02-12T08:58:42,145,0,145,1.0,0.0
2022-02-12T09:06:50,145,0,145,1.0,0.0
2022-02-12T09:14:57,145,0,145,1.0,0.0
2022-02-12T09:23:05,145,0,145,1.0,0.0
2022-02-12T09:31:12,145,0,145,1.0,0.0
2022-02-12T09:39:19,145,0,145,1.0,0.0
2022-02-12T09:47:27,145,0,145,1.0,0.0
2022-02-12T09:55:34,145,0,145,1.0,0.0
2022-02-12T10:03:42,145,0,145,1.0,0.0
2022-02-12T10:11:49,145,0,145,1.0,0.0
2022-02-12T10:19:57,145,0,145,1.0,0.0
2022-02-12T10:28:04,145,0,145,1.0,0.0
2022-02-12T10:36:20,145,0,145,1.0,0.0
2022-02-12T10:44:27,145,0,145,1.0,0.0
2022-02-12T10:52:35,145,0,145,1.0,0.0
2022-02-12T11:00:42,145,0,145,1.0,0.0
2022-02-12T11:08:50,145,0,145,1.0,0.0
2022-02-12T11:16:58,145,0,145,1.0,0.0
2022-02-12T11:25:05,145,0,145,1.0,0.0
2022-02-12T11:33:13,145,0,145,1.0,0.0
2022-02-12T11:41:20,145,0,145,1.0,0.0
2022-02-12T11:49:37,145,0,145,1.0,0.0
2022-02-12T11:57:44,145,0,145,1.0,0.0
2022-02-12T12:05:52,145,0,145,1.0,0.0
2022-02-12T12:13:59,145,0,145,1.0,0.0
2022-02-12T12:22:07,145,0,145,1.0,0.0
2022-02-12T12:30:14,145,0,145,1.0,0.0
2022-02-12T12:38:22,145,0,145,1.0,0.0
2022-02-12T12:46:36,145,0,145,1.0,0.0
2022-02-12T12:54:43,145,0,145,1.0,0.0
2022-02-12T13:02:51,145,0,145,1.0,0.0
2022-02-12T13:10:58,145,0,145,1.0,0.0
2022-02-12T13:19:06,145,0,145,1.0,0.0
2022-02-12T13:27:13,145,0,145,1.0,0.0
2022-02-12T13:35:21,145,0,145,1.0,0.0
2022-02-12T13:43:28,145,0,145,1.0,0.0
2022-02-12T13:51:36,145,0,145,1.0,0.0
2022-02-12T13:59:43,145,0,145,1.0,0.0
2022-02-12T14:07:50,145,0,145,1.0,0.0
2022-02-12T14:15:58,145,0,145,1.0,0.0
2022-02-12T14:24:05,145,0,145,1.0,0.0
2022-02-12T14:32:23,145,0,145,1.0,0.0
2022-02-12T14:40:31,145,0,145,1.0,0.0
2022-02-12T14:48:38,145,0,145,1.0,0.0
2022-02-12T14:56:46,145,0,145,1.0,0.0
2022-02-12T15:04:53,145,0,145,1.0,0.0
2022-02-12T15:13:01,145,0,145,1.0,0.0
2022-02-12T15:21:09,145,0,145,1.0,0.0
2022-02-12T15:29:17,145,0,145,1.0,0.0
2022-02-12T15:37:25,145,0,145,1.0,0.0
2022-02-12T15:45:33,145,0,145,1.0,0.0
2022-02-12T15:53:48,145,0,145,1.0,0.0
2022-02-12T16:01:55,145,0,145,1.0,0.0
2022-02-12T16:10:02,145,0,145,1.0,0.0
2022-02-12T16:18:10,145,0,145,1.0,0.0
2022-02-12T16:26:18,145,0,145,1.0,0.0
2022-02-12T16:34:25,145,0,145,1.0,0.0
2022-02-12T16:42:33,145,0,145,1.0,0.0
2022-02-12T16:50:40,145,0,145,1.0,0.0
2022-02-12T16:58:48,145,0,145,1.0,0.0
2022-02-12T17:07:04,145,0,145,1.0,0.0
2022-02-12T17:15:12,145,0,145,1.0,0.0
2022-02-12T17:23:19,145,0,145,1.0,0.0
2022-02-12T17:31:27,145,0,145,1.0,0.0
2022-02-12T17:39:34,145,0,145,1.0,0.0
2022-02-12T17:47:42,145,0,145,1.0,0.0
2022-02-12T17:55:49,145,0,145,1.0,0.0
2022-02-12T18:03:57,145,0,145,1.0,0.0
2022-02-12T18:12:04,145,0,145,1.0,0.0
2022-02-12T18:20:19,145,0,145,1.0,0.0
2022-02-12T18:28:26,145,0,145,1.0,0.0
2022-02-12T18:36:34,145,0,145,1.0,0.0
2022-02-12T18:44:41,145,0,145,1.0,0.0
2022-02-12T18:52:49,145,0,145,1.0,0.0
2022-02-12T19:00:56,145,0,145,1.0,0.0
2022-02-12T19:09:04,145,0,145,1.0,0.0
2022-02-12T19:17:11,145,0,145,1.0,0.0
2022-02-12T19:25:19,145,0,145,1.0,0.0
2022-02-12T19:33:26,145,0,145,1.0,0.0
2022-02-12T19:41:34,145,0,145,1.0,0.0
2022-02-12T19:49:49,145,0,145,1.0,0.0
2022-02-12T19:57:56,145,0,145,1.0,0.0
2022-02-12T20:06:04,145,0,145,1.0,0.0
2022-02-12T20:14:11,145,0,145,1.0,0.0
2022-02-12T20:22:19,145,0,145,1.0,0.0
2022-02-12T20:30:26,145,0,145,1.0,0.0
2022-02-12T20:38:34,145,0,145,1.0,0.0
2022-02-12T20:46:41,145,0,145,1.0,0.0
2022-02-12T20:54:49,145,0,145,1.0,0.0
2022-02-12T21:02:57,145,0,145,1.0,0.0
2022-02-12T21:11:04,145,0,145,1.0,0.0
2022-02-12T21:19:12,145,0,145,1.0,0.0
2022-02-12T21:27:28,145,0,145,1.0,0.0
2022-02-12T21:35:35,145,0,145,1.0,0.0
2022-02-12T21:43:43,145,0,145,1.0,0.0
2022-02-12T21:51:50,145,0,145,1.0,0.0
2022-02-12T21:59:57,145,0,145,1.0,0.0
2022-02-12T22:08:05,145,0,145,1.0,0.0
2022-02-12T22:16:12,145,0,145,1.0,0.0
2022-02-12T22:24:19,145,0,145,1.0,0.0
2022-02-12T22:32:27,145,0,145,1.0,0.0
2022-02-12T22:40:34,145,0,145,1.0,0.0
2022-02-12T22:48:42,145,0,145,1.0,0.0
