time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1657712075310,MATH 197,002,093119,Tesler; Glenn,9998,0,9999,1
1657712075310,MATH 197,003,093121,Zhang; Ming,9998,0,9999,1
1657712075310,MATH 197,004,093157,Eldridge; Justin Matthew,9998,0,9999,1
1657712075310,MATH 197,005,093168,Buss; Samuel R,9998,0,9999,1
1657712075310,MATH 197,006,093462,Chin; Bryan W.,9995,0,9999,4
1657712075310,MATH 197,007,093560,Sam; Steven V,9998,0,9999,1
1657712075310,MATH 197,008,093576,Nie; Jiawang,9998,0,9999,1
1657712075310,MATH 197,009,093899,Saab; Rayan,9998,0,9999,1
1657712075310,MATH 197,010,094325,Boyle; Mary E. T.,9998,0,9999,1
1657712075310,MATH 197,011,094619,Upton; James Thomas,9998,0,9999,1
1657712075310,MATH 197,012,095542,Zhou; Wenxin,9997,0,9999,2
1657712075310,MATH 197,013,095644,Xiao; Ming,9999,0,9999,0
