course,section,off_waitlist,total
CSE 8A,B50,24,45
CSE 8A,B51,23,45
CSE 8A,B52,23,45
CSE 8A,C01,0,0
CSE 8A,C50,18,42
CSE 8A,C51,12,41
CSE 8A,C52,15,41
CSE 8A,D01,0,0
CSE 8A,D50,14,41
CSE 8A,D51,19,40
CSE 8A,D52,15,40
CSE 8B,A01,52,196
CSE 95,A00,0,75
ECE 100,A01,2,20
ECE 100,A02,1,20
ECE 100,A03,0,20
ECE 100,A04,3,20
ECE 100,A05,1,20
ECE 100,A06,0,20
ECE 100,A07,0,20
ECE 100,A08,0,20
ECE 100,A09,0,20
ECE 101,A01,0,60
ECE 101,A02,0,60
ECE 103,A01,0,75
ECE 107,A01,0,75
ECE 109,A02,73,250
ECE 111,A01,0,180
ECE 115,A01,2,26
ECE 123,A01,24,60
ECE 124,A01,0,0
ECE 124,A50,0,24
ECE 124,A51,0,24
ECE 125B,A01,0,0
ECE 125B,A50,0,24
ECE 125B,A51,0,24
ECE 128C,A00,14,83
ECE 134,A00,8,50
ECE 136L,A01,0,7
ECE 136L,A02,0,7
ECE 136L,A03,0,7
ECE 136L,A04,0,7
ECE 139,A00,0,20
ECE 140B,A01,0,24
ECE 140B,A02,1,24
ECE 140B,A03,0,24
ECE 141B,A01,0,65
ECE 148,A01,0,12
ECE 153,A01,0,120
ECE 157B,A01,0,20
ECE 158B,A00,0,0
ECE 158B,A01,0,30
ECE 15,A01,27,150
ECE 161C,A00,9,60
ECE 161C,A01,0,0
ECE 163,A00,8,70
ECE 163,A01,0,0
ECE 165,A01,0,0
ECE 165,A50,0,30
ECE 165,A51,0,30
ECE 165,A52,0,30
ECE 165,A53,0,30
ECE 16,A01,4,30
ECE 171A,A01,0,100
ECE 175B,A01,5,60
ECE 17,A01,4,146
ECE 180,A00,7,60
ECE 185,A00,0,0
ECE 185,A01,0,20
ECE 190,001,0,9999
ECE 190,002,0,0
ECE 191,A00,0,40
ECE 193H,001,0,9999
ECE 196,A00,7,30
ECE 197,001,0,9999
ECE 198,001,0,9999
ECE 198,002,0,9999
ECE 25,A01,0,0
ECE 25,A50,0,30
ECE 25,A51,0,30
ECE 25,A52,0,30
ECE 35,A01,0,0
ECE 35,A50,5,30
ECE 35,A51,4,30
ECE 35,A52,7,30
ECE 35,A53,4,30
ECE 35,A54,1,26
ECE 45,A01,10,200
ECE 5,A01,0,20
ECE 5,A02,0,0
ECE 5,A03,0,20
ECE 5,A04,0,20
ECE 65,A01,0,0
ECE 65,A02,0,0
ECE 65,A50,3,17
ECE 65,A51,7,20
ECE 65,A52,4,18
ECE 65,A53,4,19
ECE 65,A54,5,20
ECE 65,A55,2,16
ECE 65,A56,3,19
ECE 65,A57,5,19
ECE 65,A58,1,10
ECE 65,A59,1,10
ECE 65,A60,2,10
ECE 65,A61,0,10
ECE 65,A62,1,10
MATH 100C,A01,4,35
MATH 100C,A02,0,28
MATH 102,A01,7,38
MATH 102,A02,10,37
MATH 102,A03,5,36
MATH 102,A04,3,36
MATH 102,B01,7,38
MATH 102,B02,2,36
MATH 102,B03,3,37
MATH 102,B04,2,36
MATH 103B,A01,3,35
MATH 103B,A02,4,35
MATH 103B,A03,0,35
MATH 103B,B01,11,36
MATH 103B,B02,5,36
MATH 103B,B03,10,36
MATH 104B,A01,0,30
MATH 106,A01,13,35
MATH 109,A01,8,34
MATH 109,A02,8,34
MATH 109,B01,7,33
MATH 109,B02,8,33
MATH 109,C01,7,33
MATH 109,C02,12,32
MATH 109,D01,8,35
MATH 109,D02,9,35
MATH 109,E01,10,34
MATH 109,E02,9,34
MATH 10A,A01,9,38
MATH 10A,A02,11,38
MATH 10A,A03,11,37
MATH 10A,A04,9,38
MATH 10A,A05,6,37
MATH 10A,A06,11,36
MATH 10A,A07,10,38
MATH 10A,A08,12,38
MATH 10B,A01,7,35
MATH 10B,A02,4,33
MATH 10B,A03,4,33
MATH 10B,A04,2,33
MATH 10B,A05,5,33
MATH 10B,A06,7,35
MATH 10B,B01,4,35
MATH 10B,B02,2,35
MATH 10B,B03,4,35
MATH 10B,B04,6,35
MATH 10B,B05,8,35
MATH 10B,B06,9,35
MATH 10B,B07,0,35
MATH 10B,B08,0,35
MATH 10B,C01,7,38
MATH 10B,C02,5,38
MATH 10B,C03,8,38
MATH 10B,C04,5,38
MATH 10B,C05,8,38
MATH 10B,C06,5,38
MATH 10B,C07,13,38
MATH 10B,C08,7,38
MATH 10B,C09,6,38
MATH 10B,C10,7,38
MATH 10C,A01,0,31
MATH 10C,A02,0,31
MATH 10C,A03,0,31
MATH 10C,A04,0,31
MATH 10C,A05,3,32
MATH 10C,A06,2,32
MATH 10C,B01,5,33
MATH 10C,B02,1,33
MATH 10C,B03,0,33
MATH 10C,B04,0,33
MATH 10C,B05,0,33
MATH 10C,B06,0,33
MATH 10C,C01,10,34
MATH 10C,C02,8,34
MATH 10C,C03,10,34
MATH 10C,C04,6,33
MATH 10C,C05,5,33
MATH 10C,C06,7,33
MATH 11,A01,8,35
MATH 11,A02,8,36
MATH 11,A03,8,36
MATH 11,A04,8,35
MATH 11,A05,8,35
MATH 11,A06,6,35
MATH 11,A07,7,35
MATH 11,A08,6,35
MATH 11,A09,5,35
MATH 11,A10,4,35
MATH 11,B01,8,33
MATH 11,B02,10,33
MATH 11,B03,16,38
MATH 11,B04,11,37
MATH 11,B05,11,38
MATH 11,B06,10,37
MATH 120B,A01,1,35
MATH 120B,A02,0,35
MATH 121B,A01,0,35
MATH 140B,A01,0,35
MATH 140B,A02,0,35
MATH 140C,A01,0,35
MATH 140C,A02,0,30
MATH 142B,A01,0,35
MATH 142B,A02,0,35
MATH 142B,B01,0,35
MATH 142B,B02,0,35
MATH 142B,C01,0,35
MATH 142B,C02,2,35
MATH 148,A01,10,30
MATH 154,A01,4,36
MATH 154,A02,4,36
MATH 154,A03,5,36
MATH 154,A04,8,36
MATH 154,A05,13,36
MATH 154,A06,9,36
MATH 155A,A01,11,36
MATH 155A,A02,13,36
MATH 155A,A03,17,36
MATH 163,A01,25,32
MATH 170A,A01,7,36
MATH 170A,A02,8,36
MATH 170A,A03,9,36
MATH 170A,A04,12,36
MATH 170A,A05,3,32
MATH 170A,A06,3,32
MATH 170B,A01,7,37
MATH 170B,A02,7,36
MATH 170B,A03,12,36
MATH 170B,A04,9,37
MATH 170B,B01,2,35
MATH 170B,B02,1,35
MATH 170C,A01,11,42
MATH 170C,A02,10,39
MATH 171B,A01,0,35
MATH 171B,A02,0,35
MATH 171B,A03,0,35
MATH 171B,A04,0,35
MATH 173B,A01,0,35
MATH 173B,A02,0,35
MATH 173B,A03,0,35
MATH 180A,A01,8,37
MATH 180A,A02,10,38
MATH 180A,A03,13,38
MATH 180A,A04,20,38
MATH 180A,A05,14,37
MATH 180A,A06,10,37
MATH 180B,A01,4,35
MATH 180B,A02,0,35
MATH 180B,A03,0,35
MATH 180B,A04,0,35
MATH 180C,A01,0,35
MATH 180C,A02,0,35
MATH 180C,B01,0,35
MATH 180C,B02,0,35
MATH 181A,A01,3,35
MATH 181A,A02,10,35
MATH 181A,A03,7,35
MATH 181A,A04,12,35
MATH 181A,A05,4,35
MATH 181B,A01,0,35
MATH 181B,A02,0,35
MATH 181B,A03,0,35
MATH 181B,B01,5,38
MATH 181B,B02,0,35
MATH 181B,B03,2,37
MATH 183,A01,10,37
MATH 183,A02,8,37
MATH 183,A03,9,37
MATH 183,A04,9,37
MATH 183,A05,9,37
MATH 183,A06,11,37
MATH 183,A07,5,37
MATH 184,A01,8,36
MATH 184,A02,6,36
MATH 184,A03,9,36
MATH 184,A04,3,36
MATH 184,A05,2,36
MATH 185,A01,3,35
MATH 185,A02,3,35
MATH 185,A03,1,35
MATH 185,A04,2,35
MATH 189,A01,11,39
MATH 189,A02,10,39
MATH 189,A03,8,39
MATH 189,A04,9,39
MATH 189,A05,14,35
MATH 189,A06,6,35
MATH 189,A07,10,39
MATH 18,A01,11,45
MATH 18,A02,11,45
MATH 18,A03,13,45
MATH 18,A04,8,45
MATH 18,A05,12,45
MATH 18,A06,4,45
MATH 18,B01,6,27
MATH 18,B02,2,26
MATH 18,B03,2,27
MATH 18,B04,4,26
MATH 18,B05,2,27
MATH 18,B06,0,26
MATH 18,B07,2,27
MATH 18,B08,2,26
MATH 18,B09,5,27
MATH 18,B10,2,26
MATH 18,B11,3,27
MATH 18,B12,2,26
MATH 18,B13,2,26
MATH 18,B14,2,26
MATH 18,B15,2,26
MATH 18,B16,3,26
MATH 18,B17,2,26
MATH 18,B18,3,26
MATH 18,B19,1,26
MATH 18,B20,2,26
MATH 18,B21,2,26
MATH 18,B22,2,26
MATH 18,B23,4,26
MATH 18,B24,3,27
MATH 197,001,0,9999
MATH 197,002,0,9999
MATH 20A,A01,9,33
MATH 20A,A02,3,33
MATH 20A,A03,5,32
MATH 20A,A04,4,34
MATH 20A,A05,4,34
MATH 20A,A06,6,34
MATH 20B,A01,8,36
MATH 20B,A02,6,38
MATH 20B,A03,8,37
MATH 20B,A04,3,37
MATH 20B,A05,3,36
MATH 20B,A06,4,36
MATH 20B,B01,4,33
MATH 20B,B02,3,34
MATH 20B,B03,8,36
MATH 20B,B04,6,36
MATH 20B,B05,3,35
MATH 20B,B06,9,35
MATH 20B,B07,4,35
MATH 20B,B08,2,34
MATH 20C,A01,0,31
MATH 20C,A02,0,31
MATH 20C,A03,0,31
MATH 20C,A04,0,31
MATH 20C,A05,0,31
MATH 20C,A06,0,31
MATH 20C,A07,0,31
MATH 20C,A08,0,31
MATH 20C,B01,8,34
MATH 20C,B02,8,34
MATH 20C,B03,3,33
MATH 20C,B04,4,33
MATH 20C,B05,3,33
MATH 20C,B06,3,33
MATH 20C,C01,3,33
MATH 20C,C02,2,33
MATH 20C,C03,0,33
MATH 20C,C04,0,33
MATH 20C,C05,1,33
MATH 20C,C06,0,33
MATH 20C,D01,9,36
MATH 20C,D02,6,37
MATH 20C,D03,8,36
MATH 20C,D04,5,36
MATH 20C,D05,6,36
MATH 20C,D06,12,36
MATH 20D,A01,8,33
MATH 20D,A02,2,33
MATH 20D,A03,1,33
MATH 20D,A04,0,33
MATH 20D,A05,2,33
MATH 20D,A06,2,33
MATH 20D,A07,1,32
MATH 20D,A08,0,32
MATH 20D,B01,2,33
MATH 20D,B02,4,33
MATH 20D,B03,2,33
MATH 20D,B04,0,33
MATH 20D,B05,1,33
MATH 20D,B06,0,33
MATH 20D,C01,10,37
MATH 20D,C02,3,34
MATH 20D,C03,5,34
MATH 20D,C04,5,35
MATH 20D,C05,5,34
MATH 20D,C06,9,35
MATH 20D,C07,6,34
MATH 20D,C08,7,32
MATH 20E,A01,1,32
MATH 20E,A02,0,32
MATH 20E,A03,0,32
MATH 20E,A04,0,32
MATH 20E,A05,0,32
MATH 20E,A06,0,32
MATH 20E,B01,6,32
MATH 20E,B02,10,33
MATH 20E,B03,5,32
MATH 20E,B04,6,32
MATH 20E,B05,5,32
MATH 20E,B06,5,32
MATH 20E,B07,2,32
MATH 20E,B08,1,33
MATH 20E,C01,16,38
MATH 20E,C02,8,38
MATH 20E,C03,8,38
MATH 20E,C04,10,38
MATH 20E,C05,11,38
MATH 20E,C06,9,38
MATH 20E,C07,10,38
MATH 20E,C08,5,38
MATH 31CH,A01,4,41
MATH 3C,A01,9,26
MATH 3C,A02,7,26
MATH 3C,A03,4,25
MATH 3C,A04,2,25
MATH 87,A00,5,20
MATH 95,A00,21,30
