course,section,off_waitlist,total
COGS 100,A01,0,60
COGS 100,A02,4,60
COGS 100,A03,1,60
COGS 100,A04,1,60
COGS 100,A05,4,60
COGS 101A,A01,1,60
COGS 101A,A02,5,60
COGS 101A,A03,3,60
COGS 101A,A04,0,60
COGS 101C,A01,6,60
COGS 101C,A02,5,60
COGS 101C,A03,1,60
COGS 102C,A01,4,60
COGS 102C,A02,0,60
COGS 107A,A01,7,60
COGS 107A,A02,6,60
COGS 107A,A03,8,60
COGS 107A,A04,6,60
COGS 107A,A05,5,60
COGS 107B,A01,0,70
COGS 107B,A02,0,60
COGS 107B,A03,0,60
COGS 107B,A04,0,60
COGS 107B,A05,0,70
COGS 107C,A01,1,60
COGS 107C,A02,0,60
COGS 107C,A03,0,60
COGS 108,A01,8,60
COGS 108,A02,1,60
COGS 108,A03,8,60
COGS 108,A04,3,60
COGS 108,A05,4,60
COGS 108,A06,3,60
COGS 108,A07,5,57
COGS 10,A01,8,60
COGS 10,A02,5,60
COGS 10,A03,8,60
COGS 10,A04,10,60
COGS 10,A05,5,60
COGS 116,A01,3,53
COGS 118A,A01,15,70
COGS 118A,A02,13,70
COGS 118A,A03,2,60
COGS 118A,A04,0,50
COGS 11,A00,0,0
COGS 11,A01,34,149
COGS 121,A00,0,0
COGS 121,A01,12,149
COGS 122,A01,14,60
COGS 123,A01,6,40
COGS 123,A02,6,40
COGS 123,A03,8,40
COGS 123,A04,2,40
COGS 12,A00,18,50
COGS 142,A01,3,50
COGS 14A,A01,12,75
COGS 14A,A02,8,70
COGS 14A,A03,13,70
COGS 14A,A04,10,70
COGS 14B,A01,4,60
COGS 14B,A02,8,60
COGS 14B,A03,7,60
COGS 153,A00,4,75
COGS 160,A00,0,20
COGS 163,A01,29,68
COGS 164,A01,39,101
COGS 170,A01,3,70
COGS 178,A00,6,75
COGS 17,A01,6,60
COGS 17,A02,4,60
COGS 17,A03,7,60
COGS 17,A04,9,60
COGS 17,A05,5,60
COGS 17,A06,10,56
COGS 184,A01,13,75
COGS 18,A01,0,35
COGS 18,A02,2,35
COGS 18,A03,2,35
COGS 18,A04,1,35
COGS 18,A05,0,35
COGS 18,A06,1,35
COGS 18,A07,3,35
COGS 18,A08,1,35
COGS 18,B01,0,0
COGS 190C,A00,0,9999
COGS 190C,B00,0,9999
COGS 190C,C00,0,0
COGS 190C,D00,0,0
COGS 190C,E00,0,9999
COGS 190C,F00,0,9999
COGS 190C,G00,0,0
COGS 190C,H00,0,9999
COGS 190C,I00,0,9999
COGS 190C,J00,0,9999
COGS 190C,K00,0,9999
COGS 190C,L00,0,0
COGS 190C,M00,0,9999
COGS 190D,A00,0,20
COGS 194,A00,0,0
COGS 197,001,0,9999
COGS 197,002,0,9999
COGS 197,003,0,0
COGS 198,001,0,9999
COGS 198,002,0,9999
COGS 1,A01,4,60
COGS 1,A02,7,60
COGS 1,A03,8,60
COGS 1,A04,13,60
COGS 1,A05,5,60
COGS 1,A06,6,60
COGS 1,A07,8,57
COGS 87,A00,10,20
COGS 8,A01,6,35
COGS 99,001,0,9999
COGS 99,002,0,0
CSE 100,A01,0,395
CSE 100,B01,29,98
CSE 100,B02,36,98
CSE 101,A01,28,196
CSE 101,B01,89,196
CSE 105,A01,155,395
CSE 107,A01,29,146
CSE 109,A01,17,70
CSE 110,A01,0,0
CSE 110,A02,0,0
CSE 110,A50,5,65
CSE 110,A51,4,65
CSE 110,A52,4,66
CSE 110,B01,0,0
CSE 110,B02,0,0
CSE 110,B50,6,65
CSE 110,B51,9,65
CSE 110,B52,10,66
CSE 112,A01,0,0
CSE 112,A50,47,146
CSE 11,A01,65,196
CSE 11,B01,64,196
CSE 120,A01,0,295
CSE 123,A01,0,196
CSE 125,A00,1,30
CSE 127,A01,6,196
CSE 12,A01,37,98
CSE 12,A02,60,98
CSE 12,B01,42,98
CSE 12,B02,45,98
CSE 12,C01,119,196
CSE 130,A01,11,196
CSE 131,A01,26,65
CSE 132B,A01,3,70
CSE 132C,A01,0,70
CSE 135,A01,27,196
CSE 140L,A01,0,196
CSE 140L,B01,0,196
CSE 140,A01,0,395
CSE 141L,A01,74,249
CSE 141,A01,24,202
CSE 143,A01,0,50
CSE 145,A00,0,0
CSE 145,A01,0,24
CSE 148,A00,0,0
CSE 148,A01,0,49
CSE 150B,A01,24,360
CSE 151A,A01,21,196
CSE 151B,A01,33,146
CSE 152B,A01,16,54
CSE 156,A01,20,196
CSE 15L,A01,20,50
CSE 15L,A02,25,50
CSE 15L,A03,23,50
CSE 15L,A04,32,50
CSE 15L,A05,26,50
CSE 15L,A06,28,50
CSE 15L,A07,28,50
CSE 15L,A08,30,45
CSE 15L,B01,21,34
CSE 15L,B02,9,33
CSE 15L,B03,15,33
CSE 15L,C01,20,50
CSE 166,A01,27,49
CSE 168,A01,20,49
CSE 175,A01,15,50
CSE 176A,A01,5,27
CSE 182,A01,0,146
CSE 185,A01,0,39
CSE 185,A02,0,38
CSE 185,A03,0,38
CSE 185,A04,1,39
CSE 185,A05,2,38
CSE 185,A06,3,38
CSE 190,A00,0,25
CSE 191,A00,0,9999
CSE 191,B00,0,50
CSE 191,C00,0,20
CSE 191,D00,0,25
CSE 197,001,0,0
CSE 198,001,0,0
CSE 198,002,0,0
CSE 198,003,0,0
CSE 198,004,0,0
CSE 198,005,0,0
CSE 198,006,0,1
CSE 198,007,0,0
CSE 198,008,0,0
CSE 198,009,0,0
CSE 20,A01,59,196
CSE 20,A02,36,196
CSE 21,A01,16,196
CSE 21,A02,18,199
CSE 30,A01,59,295
CSE 30,A02,15,295
CSE 6R,A01,19,150
CSE 6R,B01,0,49
CSE 87,A00,0,20
CSE 87,B00,1,20
CSE 8A,A01,0,0
CSE 8A,A50,24,45
CSE 8A,A51,21,45
CSE 8A,A52,26,45
CSE 8A,B01,0,0
